Informazioni cronologiche	Scarlett Johansson	Hillary Clinton	Stephen Hawking	Ernest Hemingway	Will Smith	Angelina Jolie	Lewis Hamilton	Eminem	Stephen King	Bob Dylan	Sigmund Freud	Lev Tolstoj	Ed Sheeran	Emmanuel Macron	Serena Williams	Vladimir Putin	Gandhi	Rastislav Starkov	Robert De Niro	Papa Francesco	Freddie Mercury	Mike Tyson	Boris Johnson	Wolfgang Amadeus Mozart	Emma Stone	Angela Merkel	Zlatan Ibrahimovic	Silvio Berlusconi	Barack Obama	Diego Armando Maradona	Luciano Pavarotti	Madonna	Britney Spears	Cristiano Ronaldo	Roger Federer	Woody Allen	Ray Charles	Umberto Eco	Rihanna	Usain Bolt	Kristen Stewart	Oscar Wilde	Tiger Woods	Martin Luther King	Michael Jordan	Brad Pitt	Quentin Tarantino	J.K. Rowling	Agatha Christie	William Shakespeare	Israele	Austria	Muraglia Cinese	Sahara	New York	Spagna	Mare Rosso	Baia di Hudson	Mare del Nord	Taj Mahal	Amsterdam	Ayers Rock	Svizzera	Mar Mediterraneo	Mar dei Caraibi	Santorini	Pechino	Parigi	Galapagos	Stonehenge	Cervino	Sagrada Familia	Sydney	Mar Nero	Monte Rushmore	Istanbul	Grand Canyon	Germania	Torre di Pisa	Regno Unito	Atene	Roma	Sud Corea	Monte Fuji	Sud Africa	Macchu Picchu	Nilo	Piramidi di Giza	Monte Saint-Michel	Amazzonia	Maldive	Rio De Janeiro	Oceano Atlantico	Antartide	Oceano Pacifico	Giappone	Mosca	Canada	Cascate del Niagara	Canale della Manica	Marylin Monroe
26/03/2021 21.56.18	5	4	5	5	4	5	1	2	2	3	4	4	2	3	2	3	3	1	2	4	4	2	3	4	5	3	2	5	4	3	2	3	4	4	3	4	3	4	5	3	5	4	1	3	3	4	4	5	5	4	4	2	2	2	2	2	2	1	1	1	3	1	3	4	1	1	1	4	3	5	5	5	1	3	2	2	2	4	4	5	4	5	2	2	2	2	2	3	3	3	2	3	1	3	1	3	1	3	2	4	
26/03/2021 21.57.42	5	5	4	2	4	4	4	4	3	2	3	2	3	4	4	4	4	1	4	4	4	5	4	3	4	4	5	5	5	5	3	2	2	5	5	3	3	2	4	5	2	4	2	5	5	4	3	2	2	3	2	2	2	2	2	3	2	1	2	2	2	1	2	4	2	2	2	2	2	2	2	3	2	2	2	2	2	3	3	4	2	4	2	2	3	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	
26/03/2021 22.00.19	4	4	2	3	3	4	2	5	2	3	3	1	4	3	1	3	3	1	3	3	3	2	2	2	2	2	3	3	3	2	2	2	2	2	1	2	2	2	3	2	1	2	2	2	2	2	2	2	2	2	2	3	2	2	3	4	2	2	2	1	2	1	2	2	1	2	2	2	1	2	1	2	2	2	1	2	1	2	2	2	2	3	1	2	2	1	2	1	1	2	2	2	2	2	2	2	2	2	2	2	
26/03/2021 22.01.06	4	4	4	4	4	4	3	3	4	4	5	4	4	3	3	3	4	1	4	5	4	3	3	3	4	3	4	4	4	4	4	4	4	4	3	5	3	4	3	3	3	4	2	3	3	4	4	4	4	4	3	4	3	3	4	5	3	3	4	3	4	2	3	4	2	2	2	3	2	2	4	4	3	3	1	2	2	3	4	3	3	4	2	2	2	5	2	2	5	2	2	2	2	2	2	2	3	2	2	2	
26/03/2021 22.04.28	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	5	5	5	5	5	5	3	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	4	5	4	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	
26/03/2021 22.04.37	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	5	5	5	5	5	5	3	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	4	5	4	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	
26/03/2021 22.05.04	4	4	4	4	2	4	2	3	2	5	5	4	3	3	2	4	2	1	3	3	3	1	4	4	3	4	2	4	4	3	3	3	4	3	2	3	2	3	3	2	2	4	2	2	2	3	4	3	3	4	4	3	3	3	4	4	3	3	3	3	3	4	3	4	3	3	3	4	2	2	3	4	3	3	3	3	3	4	4	4	3	4	3	3	2	2	3	3	3	3	2	3	3	3	3	2	2	4	3	3	
26/03/2021 22.06.47	5	5	5	5	3	5	2	5	4	5	5	5	1	4	4	5	5	1	4	4	5	4	5	5	4	5	1	5	5	5	4	5	5	4	5	5	5	4	4	2	3	5	2	5	4	5	4	5	4	5	5	5	5	5	5	5	3	1	4	4	5	2	5	5	4	5	5	5	5	5	1	1	5	4	2	5	4	5	5	5	5	5	5	4	4	4	5	5	1	4	4	4	5	5	5	5	5	5	5	2	
26/03/2021 22.11.24	5	4	4	3	4	3	3	4	2	4	2	1	3	4	5	5	3	1	5	3	3	2	3	3	3	4	5	5	5	5	2	5	3	5	5	4	2	2	2	4	3	3	3	3	4	4	4	4	2	2	5	4	1	1	5	5	2	2	2	2	2	2	5	4	1	1	2	4	2	3	3	3	2	2	3	3	2	4	4	4	2	4	2	2	3	2	2	2	3	3	2	3	3	1	3	4	4	3	2	2	
26/03/2021 22.13.44	5	5	5	5	5	5	5	4	4	4	4	5	3	5	3	5	4	3	5	5	4	5	5	5	3	5	5	5	5	5	4	4	4	5	4	5	4	5	4	4	3	5	4	5	5	5	5	5	3	5	5	4	4	4	4	4	4	4	4	5	4	3	4	5	4	4	4	5	3	4	5	5	5	5	5	5	5	5	5	5	5	5	4	4	5	5	5	5	5	5	4	4	5	5	5	5	5	5	5	5	
26/03/2021 22.30.54	4	5	3	3	4	3	3	3	2	4	3	3	3	4	2	3	3	1	3	4	5	3	3	4	3	4	3	5	4	4	3	4	4	3	2	5	5	4	4	2	2	3	2	4	4	4	5	5	3	4	5	4	3	4	5	4	3	2	2	3	3	4	5	5	5	3	3	4	5	4	2	2	2	3	3	3	4	5	4	5	3	3	4	3	4	5	4	4	4	4	2	4	4	5	4	5	4	4	4	5	
26/03/2021 22.38.55	4	2	2	4	2	3	2	3	4	5	5	4	2	2	2	3	3	1	4	2	4	2	2	4	3	2	1	2	3	2	3	4	4	1	2	4	4	4	3	3	1	4	1	3	2	3	4	3	4	4	3	1	3	1	4	4	1	1	2	2	3	1	3	4	3	1	3	4	1	3	1	2	3	2	1	2	3	3	2	4	2	3	2	2	2	3	2	3	3	3	1	2	4	4	4	4	4	2	2	2	
26/03/2021 22.51.03	5	4	5	4	4	4	4	4	3	3	5	3	4	3	5	3	4	1	3	3	3	2	2	3	4	3	3	5	4	3	3	3	3	3	5	3	4	3	3	2	3	3	4	4	5	3	4	4	3	4	4	3	4	3	4	3	3	1	2	4	4	1	4	5	2	5	4	5	3	4	2	3	3	2	3	2	3	3	5	4	4	5	2	2	2	3	2	3	1	2	3	4	4	4	3	4	3	3	3	2	
27/03/2021 1.39.32	5	4	4	3	4	3	3	4	2	4	2	1	3	4	5	5	3	1	5	3	3	2	3	3	3	4	5	5	5	5	2	5	3	5	5	4	2	2	2	4	3	3	3	3	4	4	4	4	2	2	5	4	1	1	5	5	2	2	2	2	2	2	5	4	1	1	2	4	2	3	3	3	2	2	3	3	2	4	4	4	2	4	2	2	3	2	2	2	3	3	2	3	3	1	3	4	4	3	2	2	
27/03/2021 3.04.50	4	3	3	3	3	3	4	2	2	3	3	2	2	3	2	4	2	1	3	3	3	2	3	2	2	3	5	5	3	4	2	2	2	5	4	3	2	3	3	5	2	3	3	2	4	3	4	5	2	3	4	3	2	2	3	3	2	2	2	2	3	1	2	5	2	2	2	3	2	2	2	2	2	2	2	3	2	4	3	3	2	4	3	2	2	2	2	2	2	2	2	2	3	3	2	3	3	2	2	2	
27/03/2021 10.12.05	3	3	4	5	4	4	2	4	4	3	5	4	2	3	3	4	5	4	4	4	5	3	4	4	3	4	3	5	4	4	4	4	3	3	3	5	4	5	2	3	2	4	1	4	3	4	5	5	4	5	4	2	4	4	4	4	4	3	3	4	4	4	3	4	3	4	3	4	4	3	3	3	4	3	3	4	5	5	5	3	5	5	3	4	3	4	4	4	3	3	4	3	3	3	3	4	3	3	4	3	
27/03/2021 11.10.52	3	3	3	3	3	3	2	2	4	3	4	3	2	3	1	3	3	1	4	3	3	2	2	5	4	3	2	4	3	3	3	3	3	2	2	5	3	4	2	2	3	3	1	3	3	3	4	4	5	4	3	3	3	3	4	3	3	2	3	3	4	1	3	4	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	4	3	3	4	3	3	3	3	3	3	3	3	3	3	
27/03/2021 11.39.05	4	3	3	4	3	4	2	4	2	5	3	3	2	2	2	4	3	1	4	4	2	2	4	4	3	5	2	5	5	5	4	5	4	3	3	5	2	4	4	2	2	4	3	5	5	4	4	3	3	4	3	1	2	2	5	4	2	1	2	2	4	1	3	5	1	1	3	5	2	2	2	4	4	3	2	4	4	4	5	3	5	5	3	3	2	2	5	2	3	2	3	3	5	4	5	5	3	5	2	4	
27/03/2021 11.52.31	4	3	4	3	3	4	2	2	3	3	4	3	4	4	2	4	3	1	3	4	4	2	3	3	3	4	2	3	3	3	3	3	3	3	2	3	2	4	3	2	3	4	2	3	2	4	3	3	2	3	3	4	3	4	3	3	3	2	3	2	4	3	4	4	3	3	3	4	3	4	3	2	3	3	2	3	3	3	2	3	4	5	2	2	2	3	3	3	3	3	2	2	4	4	3	4	3	4	3	3	
27/03/2021 12.12.16	5	5	5	5	5	5	3	5	5	5	5	5	3	3	3	5	5	1	5	5	5	3	3	5	5	5	5	5	5	5	5	5	3	5	5	5	3	3	3	4	3	3	3	5	5	5	5	5	4	5	4	1	4	4	5	5	3	3	3	4	5	1	3	4	3	2	4	5	3	5	3	5	5	3	5	4	3	5	5	5	4	5	4	4	4	4	4	4	3	4	3	3	5	4	4	4	4	4	4	5	
27/03/2021 13.58.53	2	3	3	3	2	3	1	2	3	4	3	3	4	3	1	2	4	1	2	3	4	2	4	3	3	4	2	4	4	2	4	4	3	2	2	4	3	4	3	3	2	4	2	4	2	3	4	4	4	4	4	3	4	3	4	4	3	2	3	4	4	2	4	4	3	4	4	4	3	4	4	4	4	4	4	4	3	4	4	4	4	4	3	4	3	4	4	4	4	4	4	4	4	3	4	4	4	4	4	4	
27/03/2021 13.58.58	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	3	4	4	4	1	4	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	
27/03/2021 14.01.23	4	4	4	5	5	4	3	4	4	5	4	3	2	4	4	4	4	1	5	5	5	5	4	4	2	4	5	5	5	5	3	4	3	5	5	4	2	4	3	4	2	3	3	4	5	4	5	5	4	3	5	4	3	4	5	5	3	1	1	3	5	4	4	5	2	3	3	5	2	4	1	5	5	4	2	4	4	4	4	5	4	5	1	1	2	2	3	3	1	2	2	3	2	2	2	3	3	3	3	2	
27/03/2021 14.07.02	3	3	2	4	3	3	2	2	3	4	4	2	4	3	1	3	3	1	2	3	4	3	3	3	2	3	3	4	4	3	3	3	2	3	2	2	2	4	3	2	1	3	1	4	2	2	3	3	4	4	3	3	3	3	4	4	3	2	3	3	4	1	4	4	2	5	3	4	2	5	2	3	2	2	1	4	2	3	4	3	4	5	2	2	2	2	3	3	4	3	2	2	2	2	2	2	2	2	2	3	
27/03/2021 14.39.20	3	2	2	3	1	4	1	4	4	4	4	3	3	4	1	3	4	3	4	4	5	2	3	4	4	3	1	4	5	4	4	4	4	2	3	4	4	4	4	1	2	4	1	5	2	4	4	3	4	5	5	5	5	3	5	5	4	1	5	5	5	1	5	5	4	4	3	5	3	3	2	5	3	3	1	4	5	4	4	4	4	5	2	2	4	5	4	4	4	3	3	3	5	5	5	4	3	4	4	3	
27/03/2021 14.48.10	3	3	2	4	3	3	2	2	3	4	4	2	4	3	1	3	3	1	2	3	4	3	3	3	2	3	3	4	4	3	3	3	2	3	2	2	2	4	3	2	1	3	1	4	2	2	3	3	4	4	3	3	3	3	4	4	3	2	3	3	4	1	4	4	2	5	3	4	2	5	2	3	2	2	1	4	2	3	4	3	4	5	2	2	2	2	3	3	4	3	2	2	2	2	2	2	2	2	2	3	
27/03/2021 22.54.07	5	5	5	5	5	5	3	5	5	5	5	5	4	5	4	5	5	4	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	3	5	3	5	5	4	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	3	5	5	5	3	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	
28/03/2021 14.30.57	3	4	3	4	3	4	4	4	3	3	4	2	3	4	4	4	4	1	4	5	5	3	3	5	3	3	5	5	5	5	4	5	3	5	4	4	4	3	3	4	2	4	4	5	5	4	5	4	3	5	4	2	3	4	5	5	5	1	2	5	5	5	3	5	3	3	2	5	3	5	3	4	3	2	3	3	5	5	4	5	5	5	4	4	3	5	5	3	4	4	4	4	4	4	4	5	3	3	5	3	
28/03/2021 15.00.38	4	3	3	3	3	4	4	5	3	3	3	2	2	2	3	4	3	1	4	4	4	3	2	3	2	2	5	5	4	5	3	2	2	4	3	3	2	2	2	4	3	2	2	3	4	4	5	3	2	2	3	2	2	2	3	3	2	1	2	2	3	1	3	4	2	2	2	3	2	2	1	2	3	2	2	3	2	4	3	3	3	5	2	2	2	2	2	2	2	2	2	2	3	2	2	3	3	2	2	2	
28/03/2021 15.50.53	3	2	3	3	1	1	1	2	1	2	5	2	1	1	1	2	3	1	1	2	2	1	1	3	1	2	1	3	2	1	1	2	2	1	1	2	1	2	1	1	2	2	1	3	1	1	3	1	1	3	2	2	2	2	2	3	2	1	2	2	3	1	2	3	1	2	2	3	1	4	1	3	1	2	3	3	1	4	3	3	2	4	1	3	2	2	3	3	1	3	2	3	2	2	2	4	4	2	3	2	
28/03/2021 17.20.42	4	5	4	3	3	3	3	4	3	5	4	3	2	3	5	4	4	1	3	3	3	3	3	2	2	4	5	5	4	3	2	2	3	5	5	4	3	3	2	3	1	3	3	4	4	2	4	4	4	3	4	2	2	2	3	4	2	2	2	2	4	3	1	3	2	4	2	3	2	2	1	4	3	3	1	2	2	3	3	3	3	5	3	2	3	3	2	1	1	3	1	2	2	2	2	4	2	2	2	2	
29/03/2021 9.17.38	4	5	5	5	3	2	5	3	3	5	5	3	2	4	3	5	4	1	3	5	5	5	5	3	2	5	5	5	5	5	3	3	3	5	4	4	4	3	3	5	1	3	5	4	5	3	4	4	3	3	5	3	3	3	5	4	5	3	4	1	3	1	2	5	4	3	3	5	3	4	5	3	4	3	1	4	4	4	4	5	5	5	4	4	3	3	3	3	2	3	3	2	4	4	4	4	3	2	4	4	
29/03/2021 9.24.10	4	5	5	3	4	3	2	4	2	3	4	3	3	3	3	4	3	1	4	5	4	4	2	3	4	4	3	4	4	4	4	5	4	5	5	3	3	4	4	4	3	3	4	4	4	4	4	4	3	3	5	4	5	4	5	5	5	2	2	4	3	1	2	4	4	3	4	5	4	4	2	2	3	5	3	5	4	4	3	4	4	5	4	4	5	5	4	4	3	4	4	3	5	2	3	5	4	3	4	4	
